,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
350,bandarbeyla,9.49,50.81,75.99,75,89,24.56,SO
351,omsukchan,62.53,155.8,47.43,73,93,11.1,RU
352,talaya,61.38,152.75,53.24,63,100,10.07,RU
353,airai,-8.93,125.41,72.01,43,83,6.11,TL
354,phalaborwa,-23.94,31.14,58.78,83,0,6.98,ZA
355,plainview,40.78,-73.47,73.0,56,1,8.05,US
356,hovd,48.01,91.64,53.83,38,0,5.64,MN
357,perth,-31.93,115.83,68.0,72,75,17.22,AU
358,isla vista,34.41,-119.86,96.8,57,1,3.36,US
359,bubaque,11.28,-15.83,79.63,82,100,15.82,GW
360,las palmas,28.42,-14.01,73.4,83,90,9.17,ES
361,katherine,-14.47,132.27,89.6,24,100,18.34,AU
362,kailua,21.4,-157.74,87.8,51,1,11.41,US
363,nanning,22.82,108.32,84.2,79,20,6.71,CN
364,necochea,-38.55,-58.74,42.01,82,76,1.99,AR
365,cururupu,-1.83,-44.87,75.11,90,81,4.05,BR
366,chute-aux-outardes,49.12,-68.4,50.0,87,20,9.17,CA
367,quelimane,-17.88,36.89,66.2,93,40,2.24,MZ
368,santa vitoria do palmar,-33.52,-53.37,50.54,82,58,9.13,BR
369,mundo nuevo,18.7,-95.5,80.35,86,97,17.36,MX
370,evensk,61.95,159.23,49.98,57,99,8.03,RU
371,coihaique,-45.58,-72.07,44.6,75,90,6.93,CL
372,hualmay,-11.1,-77.61,59.94,82,60,8.16,PE
373,cooma,-36.23,149.13,55.4,50,0,14.99,AU
374,chulumani,-16.41,-67.53,61.41,71,36,1.01,BO
375,formosa do rio preto,-11.05,-45.19,69.62,43,0,3.65,BR
376,svetlyy,54.67,20.13,55.4,93,40,6.71,RU
377,tam ky,15.57,108.48,89.6,62,40,1.12,VN
378,sao borja,-28.66,-56.0,61.72,94,71,10.4,BR
379,uruzgan,32.83,66.0,60.98,28,0,4.85,AF
380,huarmey,-10.07,-78.15,60.66,84,43,7.02,PE
381,bilma,18.69,12.92,92.77,17,0,3.78,NE
